workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,layers_5,async_bulk,5,128,821.38,844.69,818.75,12.04,100.0,294.02,225.65,7.16,61.48,2.00,1115.00,828.43,0.0
C,orig,layers_5,async_win,10,128,822.28,840.07,758.70,22.20,100.0,293.36,223.91,7.44,61.38,2.00,1114.35,829.77,0.0
C,orig,layers_5,pread,5,128,824.61,839.84,814.71,9.18,100.0,665.40,224.12,441.28,,,1492.78,1267.68,0.0
C,orig,layers_92,async,10,128,473.06,474.68,471.22,1.26,100.0,430.92,225.14,205.60,,,904.35,679.27,0.0
C,orig,layers_92,async_bulk,5,128,470.31,473.20,402.07,27.77,100.0,410.37,224.46,121.86,65.67,87.00,882.04,588.28,0.0
C,orig,layers_92,async_win,10,128,473.23,476.15,402.63,28.34,100.0,411.64,224.66,118.94,66.56,87.00,874.30,586.12,0.0
C,orig,layers_92,pread,5,128,472.01,473.35,470.50,1.07,100.0,8184.24,225.37,7957.58,,,8655.80,8429.14,0.0
C,orig,leaf_freq_K10,async,10,128,674.17,693.84,568.83,53.89,100.0,298.67,224.81,73.88,,,971.24,747.20,0.0
C,orig,leaf_freq_K10,async_bulk,5,128,573.35,573.45,569.26,1.69,100.0,298.83,225.06,12.61,60.91,6.00,872.18,585.20,0.0
C,orig,leaf_freq_K10,async_win,10,128,572.89,575.51,568.47,2.16,100.0,297.80,224.19,12.55,60.60,6.00,870.35,586.07,0.0
C,orig,leaf_freq_K10,pread,5,128,670.60,672.63,569.60,40.51,100.0,936.13,224.81,709.10,,,1599.67,1375.75,0.0
C,orig,leaf_rand_K10,async,10,128,839.61,855.97,710.50,44.67,100.0,298.75,223.65,75.58,,,1138.24,914.56,0.0
C,orig,leaf_rand_K10,async_bulk,5,128,834.30,866.15,804.13,21.85,100.0,300.20,223.04,15.08,60.94,10.00,1135.42,851.44,0.0
