workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,2f_top14,pread,5,128,176.99,177.97,176.89,0.49,100.0,1301.01,228.82,1072.73,,,1478.00,1249.72,0.0
C,orig,2f_top28,async,10,128,176.10,179.03,172.72,1.88,100.0,325.84,228.99,96.97,,,500.97,272.84,0.0
C,orig,2f_top28,async_bulk,5,128,177.42,247.89,174.12,35.28,100.0,318.69,229.61,26.76,62.18,13.00,497.88,204.25,0.0
C,orig,2f_top28,async_win,10,128,177.16,183.11,173.48,3.16,100.0,319.86,229.19,27.41,62.49,13.00,497.04,204.35,0.0
C,orig,2f_top28,pread,5,128,177.03,180.35,173.33,2.50,100.0,1306.26,229.73,1075.80,,,1486.26,1256.24,0.0
C,orig,2f_top500,async,10,128,92.00,94.43,89.31,1.62,100.0,998.95,229.07,769.96,,,1090.19,860.99,0.0
C,orig,2f_top500,async_bulk,5,128,466.05,471.23,462.67,3.46,13.3,359.00,229.11,38.21,90.52,2.00,823.26,503.46,0.0
C,orig,2f_top500,async_win,10,128,91.58,93.50,88.42,1.54,100.0,546.60,229.02,226.43,90.12,16.00,636.85,317.50,0.0
C,orig,2f_top500,pread,5,128,91.61,93.61,90.95,1.15,100.0,2993.62,229.06,2764.59,,,3084.65,2855.62,0.0
C,orig,baseline,baseline,10,128,1069.81,1090.57,1002.30,33.35,0.0,0.00,0.00,0.00,,,1069.81,1069.81,0.0
C,orig,layers_5,async,10,128,1038.34,1043.78,977.13,19.25,100.0,302.00,232.06,70.07,,,1339.97,1108.43,0.0
C,orig,layers_5,async_bulk,5,128,1036.98,1040.66,913.97,49.67,100.0,301.62,231.92,7.40,61.57,2.00,1340.32,1044.14,0.0
C,orig,layers_5,async_win,10,128,1039.83,1043.59,978.93,19.59,100.0,300.14,231.44,7.54,61.84,2.00,1337.87,1047.24,0.0
C,orig,layers_5,pread,5,128,1039.28,1047.98,1036.46,4.42,100.0,677.57,230.88,446.68,,,1717.84,1485.96,0.0
C,orig,layers_92,async,10,128,658.72,664.22,654.31,3.05,100.0,428.73,231.29,196.95,,,1086.95,854.94,0.0
C,orig,layers_92,async_bulk,5,128,656.02,657.04,651.05,2.32,100.0,420.65,231.34,116.94,66.22,87.00,1071.70,773.99,0.0
C,orig,layers_92,async_win,10,128,656.74,661.10,531.55,41.02,100.0,412.86,230.41,114.31,66.23,87.00,1065.34,770.48,0.0
C,orig,layers_92,pread,5,128,660.63,661.75,629.51,12.41,100.0,8225.02,232.11,7992.92,,,8885.65,8653.55,0.0
C,orig,leaf_freq_K10,async,10,128,676.00,681.02,567.94,48.95,100.0,304.25,229.75,74.61,,,978.86,749.56,0.0
C,orig,leaf_freq_K10,async_bulk,5,128,570.90,572.68,508.98,24.76,100.0,302.27,229.17,12.28,61.20,6.00,869.91,583.18,0.0
C,orig,leaf_freq_K10,async_win,10,128,570.08,573.65,531.76,11.85,100.0,303.55,229.32,12.60,61.73,6.00,873.56,582.85,0.0
C,orig,leaf_freq_K10,pread,5,128,671.61,672.77,665.83,2.94,100.0,929.43,228.72,700.71,,,1602.31,1373.59,0.0
C,orig,leaf_rand_K10,async,10,128,1049.17,1058.20,924.44,41.72,100.0,303.80,227.97,76.06,,,1355.53,1127.02,0.0
C,orig,leaf_rand_K10,async_bulk,5,128,1050.84,1053.55,986.97,25.88,100.0,304.36,228.11,15.62,61.41,10.00,1355.20,1065.69,0.0
C,orig,leaf_rand_K10,async_win,10,128,1052.53,1056.34,924.66,42.72,100.0,306.00,228.81,15.60,61.34,10.00,1360.40,1069.55,0.0
C,orig,leaf_rand_K10,pread,5,128,1051.71,1054.25,922.71,51.73,100.0,1067.23,230.08,837.84,,,2118.32,1887.66,0.0
C,orig,learned_markov_14,async,10,128,178.27,253.37,175.30,39.78,100.0,309.60,229.59,79.34,,,486.89,257.66,0.0
C,orig,learned_markov_14,async_bulk,5,128,178.12,181.60,171.19,3.61,100.0,307.99,229.32,17.41,61.26,9.00,484.16,196.70,0.0
